date,n,cumulative
01/02/2025,1,1
05/02/2025,1,2
06/02/2025,1,3
08/02/2025,1,4
09/02/2025,1,5
10/01/2025,9,14
10/02/2025,2,16
12/02/2025,1,17
13/01/2025,3,20
13/02/2025,1,21
14/01/2025,2,23
15/01/2025,1,24
16/01/2025,1,25
17/01/2025,9,34
18/01/2025,1,35
20/01/2025,1,36
21/01/2025,1,37
23/01/2025,1,38
30/01/2025,2,40
31/01/2025,10,50
