date,n,cumulative
10/01/2025,9,9
13/01/2025,3,12
14/01/2025,2,14
15/01/2025,1,15
16/01/2025,1,16
17/01/2025,9,25
18/01/2025,1,26
20/01/2025,1,27
21/01/2025,1,28
23/01/2025,1,29
30/01/2025,2,31
